Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Promoting COVID-19 Vaccine Confidence and Access among Youth Experiencing Homelessness: Community-Engaged Public Health Practice,"Osman, I.; Sieving, R.; Vasilakos, L.; Pierson, K.; Elgonda, A.; Bartlett, T.; Gewirtz O’Brien, J.R.","Background: Youth experiencing homelessness (YEH) face a wide range of complex barriers to COVID-19 vaccine confidence and access. Objectives: Describe our process for engaging a cross-sector team centering equity and youth voice; outline our intervention strategies to enhance COVID-19 vaccine confidence and access among YEH; and discuss lessons learned through this community-engaged process. Methods: We engaged partners from across sectors, includ-ing youth-serving agencies, healthcare organizations, public health organizations, and YEH. We used focus groups, key informant interviews, and other community engagement strategies to develop and implement a series of interventions aimed to increase COVID-19 vaccine confidence and access among YEH. Results: We identified youths’ key concerns about vaccine confidence and access. To address these concerns, we implemented four community-driven interventions: youth-friendly messaging, health events, vaccine aftercare kits, and staff training. Conclusions: This community-engaged project highlighted the value of cross-sector partnership and consistent youth engagement in addressing vaccine confidence among YEH. © 2024 Johns Hopkins University Press.",2024,,Prog. Community Health Partnerships Res. Educ. Action,18,1,79-89,,10.1353/cpr.2024.a922332,,#140,Osman 2024,,
"Where’s the Disconnect? Exploring Pathways to Healthcare Coordinated for Youth Experiencing Homelessness in Toronto, Canada, Using Grounded Theory Methodology","Hudani, A.; Labonté, R.; Yaya, S.","About 900 youth experiencing homelessness (YEH) reside at an emergency youth shelter (EYS) in Toronto on any given night. Several EYSs offer access to healthcare based on youths’ needs, including access to primary care, and mental health and addictions support. However, youth also require healthcare from the broader health system, which is often challenging to navigate and access. Currently, little is known about healthcare coordination efforts between the EYS and health systems for YEH. Using grounded theory methodology, we interviewed 24 stakeholders and concurrently analyzed and compared data to explore pathways to healthcare coordinated for youth who reside at an EYS in Toronto. We also investigated fundamental parts (i.e., norms, resources, regulations, and operations) within the EYS and health systems that influence these pathways to healthcare using thematic analysis. A significant healthcare coordination gap was found between these two systems, typically when youth experience crises, often resulting in a recurring loop of transition and discharge between EYSs and hospitals. Several parts within each system act interdependently in hindering adequate healthcare coordination between the EYS and health systems. Incorporating training for system staff on how to effectively coordinate healthcare and work with homeless populations who have complex health needs, and rethinking information-sharing policies within circles of care are examples of how system parts can be targeted to improve healthcare coordination for YEH. Establishing multidisciplinary healthcare teams specialized to serve the complex needs of YEH may also improve healthcare coordination between systems, and access and quality of healthcare for this population. © The Author(s) 2023.",2024,,Qual. Health Res.,34,4,298-310,,10.1177/10497323231208417,,#153,Hudani 2024,,
"Bounding systems: A qualitative study exploring healthcare coordination between the emergency youth shelter system and health system in Toronto, Canada","Hudani, A.; Schwan, K.; Labonté, R.; Yaya, S.","Background Several youth staying at emergency youth shelters (EYSs) in Toronto experience poorly coordinated care for their health needs, as both the EYS and health systems operate largely in silos when coordinating care for this population. Understanding how each system is structurally and functionally bound in their healthcare coordination roles for youth experiencing homelessness (YEH) is a preliminary step to identify how healthcare coordination can be strengthened using a system thinking lens, particularly through the framework for transformative system change. Methods Forty-six documents, and twenty-four semi-structured interviews were analyzed to explore how the EYS and health systems are bound in their healthcare coordination roles. We continuously compared data collected from documents and interviews using constant comparative analysis to build a comprehensive understanding of each system's layers, and the niches (i.e., programs and activities), organizations and actors within these layers that contribute to the provision and coordination of healthcare for YEH, within and between these two systems. Results The EYS and health systems are governed by different ministries, have separate mandates, and therefore have distinct layers, niches, and organizations respective to coordinating healthcare for YEH. While neither system takes sole responsibility for this task, several government, research, and community-based efforts exist to strengthen healthcare coordination for this population, with some overlap between systems. Several organizations and actors within each system are collaborating to develop relevant frameworks, policies, and programs to strengthen healthcare coordination for YEH. Findings indicate that EYS staff play a more active role in coordinating care for YEH than health system staff. Conclusion A vast network of organizations and actors within each system layer, work both in silos and collaboratively to coordinate health services for YEH. Efforts are being made to bridge the gap between systems to improve healthcare coordination, and thereby youths' health outcomes.  © 2024 Hudani et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2024,,PLoS ONE,19,6-Jun,,,10.1371/journal.pone.0303655,,#164,Hudani 2024,,
Identifying Novel Motivation Phase-Specific Cessation Targets for Youth Experiencing Homelessness in the United States,"Nemeth, J.M.; Glasser, A.M.; Macisco, J.; Hinton, A.; Wermert, A.; Patterson, J.G.; Sucaldito, A.; Gilson, C.; Kemble, H.; Garbsch, E.; Caponi, J.","Introduction: Of youth experiencing homelessness (YEH; 14–24 years old), 70%+ smoke combustible, commercial tobacco. Though many have tried to quit, most use ineffective methods. Drop-in centers for YEH are opportune places to link YEH to evidence-based treatment. Using the Phase-Based Model (PBM) for Cessation Research, the aim of this study was to identify “Motivation” phase-specific challenges impacting YEH’s willingness to make a quit attempt—the goal of this cessation phase. Aims and Methods: Surveys were interview administered with 96 past-week combusted tobacco users accessing drop-in services. Regression models were fit to confirm hypothesized challenges impacting YEH’s willingness to quit. Results: Moderate nicotine dependence was noted—a key Motivation phase cessation mechanism targeted—and was associated with population challenges including, but not limited to, replacing food with tobacco, accidental oxygen-deprivation events, and smoking to socialize. While 67.1% of participants made a past-year quit attempt, 45.8% expressed 30-day quit interest. Dimensions of coping with housing were associated with quit attempts and quit interest. Quit attempts were also associated with nicotine dependence, working, and smoking to socialize. Whereas, quit interest was associated with less endorsement of smoking to regulate affect and more endorsement to avoid danger. Conclusions: Though common challenges targeted in Motivation phase cessation exist among YEH, other challenges may also need to be addressed to promote quitting. © The Author(s) 2023. Published by Oxford University Press on behalf of the Society for Research on Nicotine and Tobacco. All rights reserved.",2024,,Nicotine Tob. Res.,26,2,237-244,,10.1093/ntr/ntad176,,#187,Nemeth 2024,,
Motivational Network Intervention to Reduce Substance Use and Increase Supportive Connections for Emerging Adults in a Supportive Housing Program,"Kennedy, D.P.; Osilla, K.C.; Golinelli, D.; Tucker, J.S.","Background. For transition-aged youth experiencing homelessness (TAYEH) moving to transitional housing, a motivational network intervention (MNI) may help modify high-risk networks, thereby reducing substance use and strengthening prosocial connections. Methods. Thirty-six TAYEH received a four-session MNI integrated into usual housing case management or usual case management. Intervention acceptability, feasibility, and motivational interviewing fidelity were evaluated. Results. Nearly all participants would recommend the MNI to others, formed goals, and believed the program improved their lives. Case managers delivered the program with fidelity. However, sample size and number of sessions delivered fell short of targets due to COVID-19 disruptions and other factors and limited our ability to examine preliminary effects on substance use and network outcomes in a fully powered trial. Conclusion. Case managers can successfully deliver the MNI, but its use may not be feasible unless adaptations are made to accommodate the instability this population faces when they enter housing. © Meharry Medical College.",2024,,J. Health Care Poor Underserved,35,3,852-865,,10.1353/hpu.2024.a934302,,#194,Kennedy 2024,,
A Comparative Analysis of Transitional and Permanent Supportive Housing Through the Lens of Young Adult Residents,"Semborski, S.; Petry, L.; Henwood, B.","Supportive housing (SH), largely consisting of Transitional Living Programs (TLPs) and Permanent Supportive Housing (PSH), is the primarly intervention being applied to the one-in-ten young adults that experience homelessness in the United States each year. To date, efforts to understand the perception of these programs among young adult tenants have focused singularly on TLPs or PSH. The current qualitative study builds upon previous evidence through a comparative analysis of young adult perceptions of TLPs and PSH and examines the the physical, social, and service environments associated with each program. Results suggest six themes, including three themes focused on factors associated with location, common to both TLPs and PSH: desired proximity to friends, family, and amenities; wanted distance from negative influences; and increased ability to assimilate. Three additional themes focused on the environment internal to the housing program that differentiated the models: shared space with roommates, the service environment and relationships with SH staff, and the moving on process. Findings indicate that location is an important but complex element of the housing environment for all young SH tenants with both positive and negative factors. Within the housing environment, more TLP residents had roommates and spoke of utilizing the services associated with their housing, but discussed feeling less prepared for life after SH. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2022. Springer Nature or its licensor holds exclusive rights to this article under a publishing agreement with the author(s) or other rightsholder(s); author self-archiving of the accepted manuscript version of this article is solely governed by the terms of such publishing agreement and applicable law.",2024,,Child Adolesc. Soc. Work J.,41,4,645-657,,10.1007/s10560-022-00881-1,,#200,Semborski 2024,,
"Perceptions from emerging adults with a history of homelessness on their experiences with housing, health and other support services","McDonald, K.; Palimaru, A.I.; Garvey, R.; D'Amico, E.J.; Tucker, J.S.","Homelessness is a significant public health problem in the U.S., where nearly 3.5 million emerging adults (ages 18–25) experience homelessness while unaccompanied by a parent or guardian. Emerging adults are a particularly vulnerable group, even without the added stress of homelessness. Being unhoused can exacerbate negative outcomes in wellbeing and functioning and also increase risky behaviors. These complex needs are important to consider for programs aimed at housing emerging adults with a history of homelessness. Drawing on in-depth interviews with 30 emerging adults who have experienced homelessness, this study explores a range of perspectives on challenges and opportunities for coordination of housing and social support services for emerging adults, particularly those that are perceived to contribute to housing stability. Overall, findings suggest a mix of positive and negative experiences with various approaches to case management among both stably and unstably housed participants, highlighting the overall importance of the case manager in the housing process experience. Results also indicate that stable housing may provide a platform for greater access to and utilization of physical health care resources. Important issues to be addressed in the future include perceived discrimination in service provision. These results offer policy implications, such as expanding age-related eligibility for support systems and increasing the consistency and timeliness of case management to improve the overall experience of trying to obtain and remain in stable housing. © 2024 Elsevier Ltd",2024,,Child. Youth Serv. Rev.,160,,,,10.1016/j.childyouth.2024.107555,,#207,McDonald 2024,,
Evaluating a Future-Oriented Positive Youth Development Intervention to Reduce Sexual Risk Among Highly Mobile Youth: Results and Challenges,"Drake, P.J.; Potter, S.C.; Clark, L.F.; Desai, M.; LaSalle-Castro, F.; Masters, T.; Ayyaluru, S.","Purpose: Youth experiencing or at risk of experiencing homelessness need tailored prevention programming to prevent unplanned pregnancy and sexually transmitted infections. This study evaluated the efficacy of a small-group, future-oriented positive youth development (PYD) intervention to reduce sexual risk behaviors. Method: Youth aged 14–19 (n = 483) experiencing or at risk of experiencing homelessness were recruited at youth-serving agencies and in alternative schools. Each cohort enrolled was randomized either to a 10-session, 5-week group future-oriented intervention to support them in adopting health-promoting behaviors such as using contraception, including condom use (n = 244) or to a no-treatment condition where they received usual services/schooling (n = 239). We assessed at baseline and 3-month and 9-month follow-up (1) vaginal intercourse without consistent contraception use, (2) vaginal and anal intercourse without consistent condom use, and (3) sexual risk behaviors, including current (last 3 months) effective contraception use by females who did not report current use at baseline. Results: There was no significant difference between treatment and control conditions for most outcomes. However, among females not currently using contraception at baseline, 34% in the treatment condition compared to 12.9% in the control condition reported using contraception in the 3 months before the 9-month survey, a statistically significant difference. Discussion: This sexual risk reduction intervention, grounded in PYD theory and tailored to address the needs of marginalized groups of youth, demonstrated efficacy at increasing contraceptive uptake among females. The need for PYD interventions that can be delivered in a variety of nontraditional school and service settings are discussed. © 2024 Society for Adolescent Health and Medicine",2024,,J. Adolesc. Health,75,1,173-179,,10.1016/j.jadohealth.2024.03.003,,#210,Drake 2024,,
Suicide prevention for substance using youth experiencing homelessness: study protocol for a randomized controlled trial,"Slesnick, N.; Brakenhoff, B.; Chavez, L.J.; Cuthbertson, C.L.; Famelia, R.; Feng, X.; Ford, J.; Holowacz, E.; Jaderlund, S.; Kelleher, K.; Luthy, E.; Mallory, A.M.; Pizzulo, A.; Slesnick, T.D.; Yilmazer, T.","Background: While research on substance using youth experiencing homelessness (YEH) is increasing, there is a dearth of information regarding effective prevention interventions for these youth. Suicide is the leading cause of death among YEH and most youth do not access services that may be available to them. Therefore, this study seeks to address this gap in the research literature with the goal to identify an effective suicide prevention intervention that can be readily adopted by communities that serve these youth. Methods: Three hundred (N = 300) YEH with recent substance use and suicidal ideation or a recent suicide attempt will be recruited from the streets as well as a drop-in center serving YEH. After the baseline assessment, all youth will be randomly assigned to Cognitive Therapy for Suicide Prevention (CTSP) + Services as Usual (SAU) (N = 150) or to SAU alone (N = 150). SAU includes outreach, advocacy, and service linkage whereas YEH who receive CTSP will also receive ten CTSP sessions and an optional nine booster sessions. Follow-up assessments will be conducted at 3, 6, 9, and 12 months post-baseline. Theoretically derived mediators (e.g., cognitive distortions) will be tested to shed light on mechanisms associated with change, and the moderating effects of sex, race, sexual orientation, and baseline service connection will be examined. In order to ease future dissemination of the intervention to agencies serving YEH, we will rigorously assess acceptability, feasibility, fidelity, and cost associated with the delivery of our intervention approach using a mixed-methods approach. Discussion: This study adds to a very small number of clinical trials seeking to prevent lethal suicide among a very high-risk group by addressing suicidal ideation directly rather than underlying conditions. It is hypothesized that youth receiving CTSP + SAU will show greater reductions in suicidal ideation (primary outcome), substance use, and depressive symptoms (secondary outcomes) over time compared to SAU alone, as well as improved risk and protective factors. Trial registration: NCT05994612. Date of Registration: August 16, 2023. © The Author(s) 2024.",2024,,Trials,25,1,,,10.1186/s13063-024-07997-y,,#232,Slesnick 2024,,
Body mapping as a site to negotiate eating struggles and food insecurity for street-involved and homeless youth,"Hyland, C.E.; Lee, E.","Inspired by critical trauma and embodiment theories, this study aims to illustrate how an arts-based approach such as body mapping assists in exploring the lived experiences of youth, potentially serving as a trauma-informed approach. This qualitative study collaborated with street-involved and homeless youth (SIHY) who have eating struggles while living in situations of food insecurity and other forms of oppression. Eleven participants partook in three individual face-to-face interview sessions and one arts-based body map activity, respectively, at a local SIHY resource centre in a metropolitan city in Canada. Guided by Interpretative Phenomenological Approach (IPA), our findings illustrated how body mapping (1) enabled a deepened understanding of SIHY’s eating struggles as both a form of suffering and an embodied means of coping with food insecurity and other systemic and relational trauma(s); (2) provided a transformative experience leading to greater self-compassion and healing; and (3) served as a trauma-informed method that fostered choice and validation. We attest that, as a creative and supportive clinical and research tool, body mapping taps into the unspoken, expressive, embodied, and somatic aspects of eating struggles, food insecurity, poverty, and other forms of oppression deepening knowledge and informing social work research and practice. © The Author(s) 2024.",2024,,Qual. Soc. Work,23,5,887-907,,10.1177/14733250241245717,,#265,Hyland 2024,,
